T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;8326;5528;28828;28828;298;0.0231;1.77;743
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;4543;5005;41237;41237;177;0.0326;1.88;1158
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;3311;1812;44804;44804;519;0.0369;1.93;940
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;6160;6000;26338;26338;306;0.0201;1.77;686
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;6416;5350;48206;48206;524;0.0399;2.38;1628
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;2951;8254;207513;207513;787;0.2129;4.53;3752
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;3578;9938;71421;71421;466;0.0639;2.46;2098
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;9552;6075;60907;60907;412;0.0492;2.88;2351
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;6144;4550;79432;79432;601;0.0731;2.18;1413
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;9970;7212;11216;11216;79;0.0079;1.89;1038
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;532;1834;123800;123800;1140;0.1566;2.39;1720
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;8019;8868;44322;44322;301;0.0366;3.20;2073
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;2660;7057;39356;39356;266;0.0295;2.61;2148
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;3367;8127;41117;41117;223;0.0340;2.99;2559
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;2327;4574;126942;126942;573;0.1251;3.40;2608
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;4192;4488;187194;187194;720;0.1958;5.29;4422
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;4120;6782;137882;137882;665;0.1484;3.14;2402
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;3982;2792;230885;230885;773;0.2385;6.70;4533
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;5608;2365;56554;56554;333;0.0451;2.17;1578
T-MDA;netMaker_3o_10000n_1amin_10amax_20i_1s_scorr_79134.gr;7796;4088;207737;207737;1085;0.2182;3.29;2402
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;9339;3321;27318;27318;171;0.0209;2.16;1464
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;8368;2669;104583;104583;220;0.1034;3.81;3606
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;6661;3263;19800;19800;154;0.0147;1.80;560
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;9026;5008;153443;153443;430;0.1891;4.17;4181
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;6383;3230;60787;60787;448;0.0538;2.48;2061
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;8600;5333;53778;53778;178;0.0435;2.33;2543
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;6511;6546;70;70;11;0.0006;1.45;23
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;8454;4227;33254;33254;238;0.0248;1.91;1308
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;4269;9396;25517;25517;121;0.0197;2.00;1181
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;5124;2768;64351;64351;169;0.0570;3.74;4235
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;4257;7558;18889;18889;116;0.0135;1.80;1453
